math12,catholic,faminc8,math8
49.77000045776367,1,10,50.27000045776367
59.84000015258789,1,10,51.52000045776367
50.380001068115234,1,10,47.560001373291016
45.029998779296875,1,10,46.599998474121094
54.2599983215332,1,11,60.220001220703125
55.369998931884766,1,7,58.630001068115234
65.06999969482422,1,10,59.849998474121094
47.970001220703125,1,10,47.91999816894531
53.97999954223633,1,10,49.650001525878906
62.720001220703125,1,8,64.36000061035156
52.04999923706055,1,11,45.470001220703125
63.86000061035156,1,10,57.34000015258789
45.540000915527344,1,8,38.63999938964844
62.5,1,10,60.959999084472656
58.77000045776367,1,8,60.61000061035156
63.43000030517578,1,11,63.900001525878906
51.5099983215332,1,11,41.310001373291016
50.02000045776367,1,11,52.310001373291016
64.13999938964844,1,11,72.94000244140625
63.5,1,10,59.779998779296875
48.7599983215332,1,12,50.849998474121094
44.31999969482422,1,4,50.060001373291016
40.68000030517578,1,10,50.959999084472656
45.650001525878906,1,10,39.349998474121094
50.880001068115234,1,11,57.150001525878906
35.25,0,9,38.380001068115234
63.22999954223633,0,11,64.91999816894531
43.119998931884766,0,5,44.18000030517578
61.290000915527344,0,11,52.59000015258789
37.060001373291016,0,12,56.45000076293945
64.11000061035156,0,11,66.30000305175781
66.26000213623047,0,11,53.220001220703125
65.93000030517578,0,12,70.80999755859375
63.540000915527344,0,10,71.94000244140625
49.209999084472656,0,11,45.06999969482422
47.939998626708984,0,12,60.31999969482422
56.630001068115234,0,12,66.19000244140625
35.060001373291016,0,11,41.58000183105469
66.45999908447266,0,11,67.26000213623047
49.90999984741211,0,11,49.029998779296875
53.88999938964844,0,11,55.439998626708984
61.939998626708984,0,10,59.369998931884766
46.150001525878906,0,10,43.2599983215332
69.720001220703125,0,12,72.2300033569336
50.38999938964844,0,10,54.2599983215332
41.79999923706055,0,6,42.47999954223633
40.75,0,8,40.29999923706055
34.439998626708984,0,9,36.810001373291016
36.209999084472656,0,8,48.790000915527344
55.5099983215332,0,8,62.099998474121094
48.279998779296875,0,11,45.75
43.380001068115234,0,4,42.040000915527344
46.459999084472656,0,10,60.970001220703125
44.540000915527344,0,5,42.59000015258789
43.09000015258789,0,7,50.15999984741211
52.040000915527344,0,8,42.720001220703125
42.43000030517578,0,2,40.04999923706055
54.33000183105469,0,12,51.04999923706055
60.18000030517578,0,10,56.68000030517578
32,0,10,37.470001220703125
57.75,0,9,57.43000030517578
42.34000015258789,0,11,52.349998474121094
62.29999923706055,0,12,50.849998474121094
67.55999755859375,0,12,67.30000305175781
62.08000183105469,0,12,50.58000183105469
60.150001525878906,0,12,61.25
54.34000015258789,0,12,41.13999938964844
61.27000045776367,0,10,54.70000076293945
57.119998931884766,0,10,65.11000061035156
52.56999969482422,0,7,46.88999938964844
50.029998779296875,0,10,41.22999954223633
43.970001220703125,0,11,40.869998931884766
34.56999969482422,0,11,38.7599983215332
55.470001220703125,0,10,46.95000076293945
50.27000045776367,0,8,54.75
63.790000915527344,0,10,63.20000076293945
36.5099983215332,0,2,42.61000061035156
57.61000061035156,0,10,63.2400016784668
57.83000183105469,0,7,71.76000213623047
46.79999923706055,0,10,45.95000076293945
63.09000015258789,0,10,65.30999755859375
50.7400016784668,0,4,52.15999984741211
61.900001525878906,0,12,60.27000045776367
64,0,7,62.290000915527344
52.869998931884766,0,12,44.11000061035156
62.459999084472656,0,7,64.88999938964844
65.1500015258789,0,11,48.95000076293945
35.86000061035156,0,7,40.77000045776367
51.209999084472656,0,9,58.939998626708984
62.83000183105469,0,9,54.779998779296875
52.619998931884766,0,7,57.88999938964844
37.47999954223633,0,5,39.08000183105469
54.5,0,5,55.779998779296875
53.86000061035156,0,8,48.43000030517578
